formula,formation energy,Mpid,SpaceGroup
CsLa(PO3)4,-2.951,mp-559234,P2_1
KBa2(PO3)5,-2.928,mp-560320,Pc
Ba3P3O10Cl,-3.148,mp-1194911,Pca2_1
Ba3P3O10Br,-3.078,mp-1194785,P2_12_12_1
LiPbPO4,-2.511,mp-22694,Pna2_1
Rb3Al2(PO4)3,-2.942,mp-560459,Cmc2_1
K3Al2(PO4)3,-2.95,mp-560629,Pna2_1
LiK3P2O7,-2.685,mp-1019794,C222_1
LiNa3P2O7,-2.655,mp-1020164,C222_1
LiCsP2O6,-2.716,mp-560667,Fdd2
BaNa(PO3)3,-2.882,mp-13755,P2_12_12_1
Rb2Na(NO3)3,-1.486,mp-1020630,Pmc2_1
Pb2(SeO3)(NO3)2,-1.277,mp-1192446,Pmn2_1
BaMnSnS4,-1.045,mp-540651,Fdd2
BaZnSnS4,-1.425,mp-13593,Fdd2
BaCdGeS4,-1.374,mp-13831,Fdd2
BaCdSnS4,-1.383,mp-12306,Fdd2
BaGa2SiS6,-1.428,mp-1227993,P1
BaGa2GeS6,-1.323,mp-1227983,P1
BaGa2SiSe6,-0.887,mp-1227978,P1
BaGa2GeSe6,-0.829,mp-1227970,P1
SrCu2GeS4,-1.125,mp-18685,P3_221
SrCu2SnS4,-1.108,mp-16988,P3_121
SrCu2GeSe4,-0.694,mp-16179,Ama2
BaCu2GeS4,-1.139,mp-17947,P3_121
BaCu2GeSe4,-0.717,mp-17252,P3_121
BaCu2SnSe4,-0.742,mp-12364,Ama2
BaAg2GeS4,-1.102,mp-7394,I-42m
BaAg2SnS4,-1.096,mp-555166,I222
BaAg2GeSe4,-0.716,mp-569790,I222
BaAg2SnSe4,-0.736,mp-569114,I222
EuLi2GeS4,-1.555,mp-629443,I-42m
PbLi2GeS4,-1.143,mp-19896,I-42m
K2Bi2(SO4)2Cl4,-2.009,mp-23645,P2_12_12_1
Sb6O7(SO4)2,-1.881,mp-27229,Ccc2
Sn2P2S6,-0.75,mp-13923,Pc
LiZnPS4,-1.039,mp-11175,I-4
AgZnPS4,-0.739,mp-558807,Pna2_1
Zn3P2S8,-0.866,mp-30311,P-4n2
InPS4,-0.802,mp-20790,I-4
K2P2Se6,-0.519,mp-571452,P3_121
Rb2P2Se6,-0.522,mp-571464,P3_121
KZrPSe6,-0.601,mp-639149,Pmc2_1
KPSe6,-0.331,mp-18625,Pca2_1
RbPSe6,-0.341,mp-17945,Pca2_1
KNb2PSe10,-0.571,mp-1195772,Pc
RbNb2PSe10,-0.58,mp-1192452,Pc
CsNb2PSe10,-0.591,mp-1195822,Pc
K4GeP4Se12,-0.527,mp-1195433,Pca2_1
Rb4GeP4Se12,-0.537,mp-1195251,Pca2_1
Cs4GeP4Se12,-0.558,mp-1195417,Pca2_1
Cs2Ba3(P2O7)2,-3.054,mp-1019605,P2_12_12_1
Li3AlSiO5,-2.983,mp-1020023,Pna2_1
Li2SiO3,-2.891,mp-5012,Ccm2_1
Na(GeP)3,-0.174,mp-1104707,Pmc2_1
Ca2CdP2,-0.907,mp-1078908,Pmc2_1
BaGe2P2,-0.506,mp-27809,P4_2mc
BaGe2As2,-0.504,mp-27810,P4_2mc
LaSiP3,-0.723,mp-1232374,Pna2_1
LaSi2P6,-0.465,mp-29186,Cmc2_1
MgSiAs2,-0.312,mp-1016197,I-42d
MnSiP2,-0.101,mp-1207203,I-42d
RuSi4P4,-0.359,mp-14983,P1
La4InSbS9,-2.006,mp-1196663,P4_12_12
Eu2Ga2GeS7 ,-0.713,mp-1192354,P-42_1m
Dy3GaS6,-2.13,mp-1189242,Cmc2_1
Ba6Sn6Se13,-1.227,mp-1196224,P2_12_12_1
BaHgS2,-1.487,mp-28007,Pmc2_1
BaGa4S7 ,-1.353,mp-4309,Pmn2_1
BaGa4Se7,-0.871,mp-1191072,Pc
BaAl4Se7 ,-1.095,mp-1191234,Pc
Ba5In4Te4S7,-1.51,mp-1105201,Imm2
Ba2BiInS5 ,-1.611,mp-864638,Cmc2_1
Ba2BiInSe5,-1.209,mp-1105202,Cmc2_1
Na2ZnGe2S6,-1.073,mp-1190399,Cc
Li2CdGeS4,-1.187,mp-1189383,Pmn2_1
KCd4Ga5S12,-1.101,mp-1223535,P1
Li2In2SiS6,-1.221,mp-1191903,Cc
Na2In2SiS6,-1.206,mp-1190138,Cc
Na4MgSi2Se6,-0.959,mp-1103351,C2
LiAsS2,-0.939,mp-555874,Cc
Rb3Ta2AsS11,-1.27,mp-1209358,Cc
SnGa2GeS6,-0.86,mp-1194838,Fdd2
CdCu2SnS4,-0.745,mp-1078292,I-42m
NaBa4Ge3S10Cl,-1.689,mp-1201802,P6_3
SbF3 ,-2.709,mp-1880,Ama2
NaSb3F10,-2.776,mp-27573,P6_3
Cs2Hg3I8,-0.717,mp-540574,Cm
HgBr2,-0.431,mp-571558,P3
Rb2CdBr2I2,-1.284,mp-1103709,Ama2
Zn(IO3)2,-1.067,mp-23360,P2_1
NaI3O8,-1.029,mp-559065,P-4
RbIO3,-1.382,mp-27193,R3m
BPO4,-2.775,mp-3589,I-4
LiBO2,-2.738,mp-14232,I-42d
SrB4O7,-3.026,mp-5540,Pmn2_1
BHO2,-2.299,mp-721851,P-43n
B2S2O9,-2.202,mp-1019509,C2
LiB(SO4)2,-2.242,mp-1020106,Pc
CaB4O7,-3.004,mp-11000,Pmn2_1
